url,name,image_url,price,seller,pid,cid,gid
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,Lkikos Velvet Cloud Sofa Shaped Corner Sofa – Vacuum Sealed & Compressed,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcS_TnSTTmyUST45xqcb4RJ1xaLkFbVymrDv29u2aLsmnr269ac1I_rsUkaMDe4nkazOQDAkBueHbeZ6CiWKIW4Sr-UpYGvyWUe5JNrlzXMO8Jc81B_fxxJi,"€ 1.684,95",Lkikos.com,5751213171933122933,8099338328144842318,13843062956981944799
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,Kaiser Möbel Ecksofa Corner Mit Steppung Baloo Chenille-Stoff Arena,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSBWEUH4wZNKsSUaEIQjNKvS-kB1rR9A6X4SnFzI8GxmRm9mSbqB8XhPwh7DprWVtpNmBYaTw42XbuEw0_ya032__6L-s_fUS4LmiqP0KYsmh9tqIGQqO7HRg,"€ 1.909,00",XXXLutz AT,5098948769330636766,7286647631081927347,12768587971682143701
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,Modular Teddy Bouclé Corner Sofa Wolke Teddy Bouclé B T 167 cm,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTcqjOsNrltHPB2H4De83gA41jzWXP4o2t2BqsY3_8q5mIv0YuVzBDhjQq1uI-ASZUae3xAHsOq7JPvjC6yKjFYu_uKWIozujjrgW30rCaELneh1uSj_9Zg,"€ 2.849,00",westwing.at,9834098306885303396,5809243259569264018,10688582483599406303
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,Corner Sofa Melva Fabric B 339 x T,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRpH_PWkfUhRbKxLtYO7_CI0xkhxQ3E4xtjB7-GA5ZUgW65uoDlhQVa8B5BRIrxot0mgLXSV_vXyEdOgr2kAvH0f-gkTAyz4tZ7pnjjSs0R4R-F4uLCieiuNA,"€ 3.999,00",westwing.de,6174984036688966417,14120455296568694960,17413918495158839928
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,XL Modular Teddy Bouclé Corner Sofa Wolke with Chaise End Teddy,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSrnU2NzU3yleQNIAt8G0gW0mLAblk4nK-LNte0qq2Oa4u0SjhF1eT9tJ4c4ZP4JLksXTt3UpVJlvUq1mG_3lDlwT3UIHr5s-FQnxmOy6kfaTUn8O6PsRVVpw,"€ 3.649,00",westwing.at,13515918940709506232,18141866108872174120,1109830201807291502
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,Italian Style Modern Leather Sectional Sofa,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQeS05WWOfTlHfrHL5SIOmCyQN_N2sAIs3epCOjA5DwFJiwg_wmfq-4p1sEC27YqdyXlUw_RUbBystdb8RzpS2GgAFfdS1kiKj9-BFlFH0,"€ 3.206,05",Lixra,4702617155563277083,418234396393155953,3071722201646233483
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,Modular Corner Sofa Wolke with Chaise End Green Fabric B 290 x T 262 cm,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSVoXHtDMjgFFgAEouY9I7JFosHoI_TDsE2nDDj7br1ikrJpUfe8m3-TH1r_GzRwKlxhkcax484mu-hS7VO1k4TgTdFbcs6oR0qGHi6OaLo9A6RXO3sYmT4,"€ 3.649,00",westwing.de,9545442218459858056,1717485116729703696,9651797627409304561
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,Modular Bouclé Corner Sofa Wolke with Chaise End Bouclé B 290 x T 262 cm,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQiFXj_7PBw-9kFDCiSNTQTGyVS0Xm_1BOz-zl3ky8nLlVPAk9vqO63yA4U8HfhmUhpKC7iGCXTMCsXcNPLOyRx7785nXxmMoYHWIjv6F_jbz72UqSp2ud4,"€ 3.199,00",westwing.at,17384614750697679558,4371445198918996548,469582800495244345
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,IKEA SÖDERHAMN corner sofa 6-seat,,"€ 1.538,00",IKEA,9585931196995989354,5513586167874874123,9790995948607343252
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,Amaltas L Shaped Sofa,,"€ 710,67",Amaltas Furniture Studio,8219710835467979673,3526773287488427889,2108010592125415619
